disputa,Uni1_votos,Uni2_votos,Uni1_reaction,Uni2_reaction
UENFxUFBA,1137,2905,sorry,love
UFRGSxUFPB,3461,3049,wow,sorry
UEFSxUNIPAMPA,658,2026,haha,anger
UFPExUFAM,518,848,anger,wow
UECExUFMA,520,296,wow,anger
UNEBxUEPG,866,1300,haha,sorry
UFABCxUEPB,1800,850,love,sorry
UFSCxUFSJ,1726,1662,love,haha
UFMTxUFG,695,655,sorry,anger
UFPRxUNIRIO,3200,500,anger,love
UELxUFPel,2200,1300,sorry,wow
UPExUSP,2180,2099,anger,sorry
UNIFALxUnB,1077,2082,anger,love
UFPAxUFJF,1296,1162,haha,anger
UFSMxUFC,1556,762,love,sorry
UNIFEIxUFRN,785,759,love,anger
UESCxUFF,230,424,haha,anger
UFMGxUFCSPA,1344,1413,love,sorry
UFUxUNIOESTE,996,1538,haha,love
UFRRJxUNESP,583,4765,sorry,haha
UFVxUEM,3644,3586,haha,sorry
UNIFESPxUFAL,1532,610,wow,haha
UDESCxUFSCAR,326,921,anger,wow
UFESxUESB,493,460,wow,sorry
UFRJxUFMS,357,875,anger,wow
UFLAxUFCG,1321,484,sorry,love
UFPIxUFERSA,321,351,haha,love
FURGxUFRPE,857,439,wow,sorry
UFTMxUFGD,959,802,love,anger
UERJxUFOP,1002,1953,sorry,anger
UNICAMPxUNIMONTES,1611,589,love,wow
UTFPRxUFS,3319,849,love,anger
