date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-30 23:49:03,430,3,1,1,2,1,1310
2020-08-30 23:52:05,431,3,1,1,2,1,1321
2020-08-30 23:52:31,431,3,1,1,2,1,1322
2020-08-30 23:54:44,432,3,1,1,2,1,1324
2020-08-30 23:54:58,432,3,1,1,2,1,1324
2020-08-30 23:55:13,432,3,1,1,2,1,1325
2020-08-30 23:55:28,432,3,1,1,2,1,1325
2020-08-30 23:55:43,432,3,1,1,2,1,1326
2020-08-30 23:55:58,432,3,1,1,2,1,1327
2020-08-30 23:56:13,432,3,1,1,2,1,1327
2020-08-30 23:56:28,432,3,1,1,2,1,1327
2020-08-30 23:56:43,432,3,1,1,2,1,1327
2020-08-30 23:56:58,432,3,1,1,2,1,1328
2020-08-30 23:57:13,433,3,1,1,2,1,1328
2020-08-30 23:57:28,434,3,1,1,2,1,1329
2020-08-30 23:57:43,434,3,1,1,2,1,1329
2020-08-30 23:57:58,434,3,1,1,2,1,1329
2020-08-30 23:58:13,434,3,1,1,2,1,1329
2020-08-30 23:58:28,435,3,1,1,2,1,1330
2020-08-30 23:58:43,435,3,1,1,2,1,1330
2020-08-30 23:58:58,435,3,1,1,2,1,1330
2020-08-30 23:59:13,435,3,1,1,2,1,1330
2020-08-30 23:59:28,435,3,1,1,2,1,1331
2020-08-30 23:59:43,435,3,1,1,2,1,1331
2020-08-30 23:59:59,435,3,1,1,2,1,1332
2020-08-31 00:00:13,435,3,1,1,2,1,1333
2020-08-31 00:00:28,435,3,1,1,2,1,1333
2020-08-31 00:00:43,435,3,1,1,2,1,1334
2020-08-31 00:00:58,436,3,1,1,2,1,1334
2020-08-31 00:01:13,436,3,1,1,2,1,1334
2020-08-31 00:01:28,436,3,1,1,2,1,1334
2020-08-31 00:01:43,436,3,1,1,2,1,1334
2020-08-31 00:01:58,436,3,1,1,2,1,1335
2020-08-31 00:02:13,436,3,1,1,2,1,1335
2020-08-31 00:02:28,437,3,1,1,2,1,1335
2020-08-31 00:02:43,437,3,1,1,2,1,1337
2020-08-31 00:02:58,437,3,1,1,2,1,1338
2020-08-31 00:03:13,437,3,1,1,2,1,1339
2020-08-31 00:03:28,437,3,1,1,2,1,1339
2020-08-31 00:03:43,439,3,1,1,2,1,1339
2020-08-31 00:03:58,440,3,1,1,2,1,1342
2020-08-31 00:04:13,440,3,1,1,2,1,1342
2020-08-31 00:04:28,440,3,1,1,2,1,1342
2020-08-31 00:04:44,440,3,1,1,2,1,1343
2020-08-31 00:05:01,441,3,1,1,2,1,1343
2020-08-31 00:05:14,441,3,1,1,2,1,1343
2020-08-31 00:05:32,441,3,1,1,3,1,1345
2020-08-31 00:05:44,442,3,1,1,2,1,1345
2020-08-31 00:05:59,442,3,1,1,2,1,1345
2020-08-31 00:06:13,442,3,1,1,2,1,1345
2020-08-31 00:06:28,442,3,1,1,2,1,1346
2020-08-31 00:06:43,442,3,1,1,2,1,1346
2020-08-31 00:06:58,442,3,1,1,2,1,1346
2020-08-31 00:07:13,442,3,1,1,2,1,1346
2020-08-31 00:07:28,442,3,1,1,2,1,1347
2020-08-31 00:07:43,442,3,1,1,2,1,1349
2020-08-31 00:07:58,442,3,1,1,2,1,1350
2020-08-31 00:08:13,442,3,1,1,2,1,1350
2020-08-31 00:08:28,442,3,1,1,2,1,1351
2020-08-31 00:08:43,443,3,1,1,2,1,1353
2020-08-31 00:08:58,443,3,1,1,2,1,1354
2020-08-31 00:09:13,444,3,1,1,2,1,1354
2020-08-31 00:09:28,444,3,1,1,2,1,1354
2020-08-31 00:09:43,444,3,1,1,2,1,1355
2020-08-31 00:09:58,444,3,1,1,2,1,1357
2020-08-31 00:10:14,444,3,1,1,2,1,1357
2020-08-31 00:10:28,444,3,1,1,2,1,1358
2020-08-31 00:10:43,444,3,1,1,2,1,1358
2020-08-31 00:10:58,444,3,1,1,2,1,1359
2020-08-31 00:11:13,445,3,1,1,2,1,1360
2020-08-31 00:11:28,445,3,1,1,2,1,1360
2020-08-31 00:11:43,445,3,1,1,2,1,1361
2020-08-31 00:11:58,445,3,1,1,2,1,1362
2020-08-31 00:12:13,445,3,1,1,2,1,1362
2020-08-31 00:12:28,445,3,1,1,2,1,1365
2020-08-31 00:12:43,445,3,1,1,2,1,1366
2020-08-31 00:12:58,445,3,1,1,2,1,1368
2020-08-31 00:13:13,445,3,1,1,2,1,1370
2020-08-31 00:13:33,445,3,1,1,2,1,1370
2020-08-31 00:13:44,445,3,1,1,2,1,1370
2020-08-31 00:14:00,445,3,1,1,2,1,1371
2020-08-31 00:14:14,446,3,1,1,2,1,1371
2020-08-31 00:14:29,446,3,1,1,2,1,1372
2020-08-31 00:14:44,448,3,1,1,2,1,1372
2020-08-31 00:14:58,448,3,1,1,2,1,1373
2020-08-31 00:15:15,449,3,1,1,2,1,1373
2020-08-31 00:15:29,450,3,1,1,2,1,1373
2020-08-31 00:15:44,450,3,1,1,2,1,1373
2020-08-31 00:15:59,450,3,1,1,2,1,1373
2020-08-31 00:16:14,451,3,1,1,2,1,1373
2020-08-31 00:16:29,451,3,1,1,2,1,1374
2020-08-31 00:16:44,451,3,1,1,2,1,1374
2020-08-31 00:16:59,451,3,1,1,2,1,1374
2020-08-31 00:17:14,451,3,1,1,2,1,1375
2020-08-31 00:17:29,451,3,1,1,2,1,1379
2020-08-31 00:17:44,451,3,1,1,2,1,1380
2020-08-31 00:17:59,451,3,1,1,2,1,1380
2020-08-31 00:18:14,452,3,1,1,2,1,1380
2020-08-31 00:18:29,452,3,1,1,2,1,1380
2020-08-31 00:18:44,452,3,1,1,2,1,1380
2020-08-31 00:18:59,452,3,1,1,2,1,1380
2020-08-31 00:19:14,453,3,1,1,2,1,1381
2020-08-31 00:19:29,453,3,1,1,2,1,1382
2020-08-31 00:19:44,453,3,1,1,2,1,1382
2020-08-31 00:19:59,453,3,1,1,2,1,1382
2020-08-31 00:20:14,453,3,1,1,2,1,1383
2020-08-31 00:20:30,453,3,1,1,2,1,1384
2020-08-31 00:20:44,453,3,1,1,2,1,1385
2020-08-31 00:20:59,453,3,1,1,2,1,1385
2020-08-31 00:21:14,454,3,1,1,2,1,1385
2020-08-31 00:21:29,454,3,1,1,2,1,1386
2020-08-31 00:21:44,454,3,1,1,2,1,1386
2020-08-31 00:21:59,454,3,1,1,2,1,1386
2020-08-31 00:22:14,454,3,1,1,2,1,1386
2020-08-31 00:22:29,454,3,1,1,2,1,1387
2020-08-31 00:22:44,454,3,1,1,2,1,1387
2020-08-31 00:22:59,455,3,1,1,2,1,1388
2020-08-31 00:23:14,455,3,1,1,2,1,1389
2020-08-31 00:23:29,455,3,1,1,2,1,1389
2020-08-31 00:23:44,455,3,1,1,2,1,1390
2020-08-31 00:23:59,455,3,1,1,2,1,1390
2020-08-31 00:24:14,455,3,1,1,2,1,1391
2020-08-31 00:24:36,455,3,1,1,2,1,1391
2020-08-31 00:24:44,455,3,1,1,2,1,1391
2020-08-31 00:24:59,455,3,1,1,2,1,1392
2020-08-31 00:25:14,455,3,1,1,2,1,1392
2020-08-31 00:25:29,455,3,1,1,2,1,1392
2020-08-31 00:25:44,455,3,1,1,2,1,1392
2020-08-31 00:26:19,455,3,1,1,2,1,1393
2020-08-31 00:26:19,455,3,1,1,2,1,1393
2020-08-31 00:26:29,455,3,1,1,2,1,1393
2020-08-31 00:26:44,455,3,1,1,2,1,1393
2020-08-31 00:26:59,455,3,1,1,2,1,1393
2020-08-31 00:27:14,455,3,1,1,2,1,1393
2020-08-31 00:27:29,455,3,1,1,2,1,1393
2020-08-31 00:27:44,455,3,1,1,2,1,1394
2020-08-31 00:27:59,455,3,1,1,2,1,1394
2020-08-31 00:28:14,455,3,1,1,2,1,1394
2020-08-31 00:28:29,455,3,1,1,2,1,1395
2020-08-31 00:28:44,457,3,1,1,2,1,1395
2020-08-31 00:28:59,457,3,1,1,2,1,1395
2020-08-31 00:29:14,457,3,1,1,2,1,1397
2020-08-31 00:29:30,458,3,1,1,2,1,1397
2020-08-31 00:29:44,458,3,1,1,2,1,1398
2020-08-31 00:30:00,458,3,1,1,2,1,1398
2020-08-31 00:30:14,458,3,1,1,2,1,1398
2020-08-31 00:30:29,459,3,1,1,2,1,1399
2020-08-31 00:30:44,459,3,1,1,2,1,1400
2020-08-31 00:30:59,459,3,1,1,2,1,1400
2020-08-31 00:31:14,459,3,1,1,2,1,1400
2020-08-31 00:31:29,459,3,1,1,2,1,1400
2020-08-31 00:31:44,459,3,1,1,2,1,1400
2020-08-31 00:31:59,459,3,1,1,2,1,1400
2020-08-31 00:32:14,459,3,1,1,2,1,1402
2020-08-31 00:32:29,459,3,1,1,2,2,1403
2020-08-31 00:32:44,459,3,1,1,2,2,1403
2020-08-31 00:32:59,460,3,1,1,2,2,1403
2020-08-31 00:33:14,460,3,1,1,2,2,1404
2020-08-31 00:33:29,461,3,1,1,2,2,1406
2020-08-31 00:33:44,461,3,1,1,2,2,1406
2020-08-31 00:33:59,461,3,1,1,2,2,1406
2020-08-31 00:34:14,461,3,1,1,2,2,1406
2020-08-31 00:34:29,462,3,1,1,2,2,1406
2020-08-31 00:34:44,462,3,1,1,2,2,1406
2020-08-31 00:34:59,462,3,1,1,2,2,1406
2020-08-31 00:35:14,462,3,1,1,2,2,1407
2020-08-31 00:35:29,462,3,1,1,2,2,1407
2020-08-31 00:35:44,462,3,1,1,2,2,1407
2020-08-31 00:35:59,462,3,1,1,2,2,1407
2020-08-31 00:36:14,462,3,1,1,2,2,1409
2020-08-31 00:36:29,462,3,1,1,2,2,1410
2020-08-31 00:36:44,462,3,1,1,2,2,1411
2020-08-31 00:36:59,462,3,1,1,2,2,1411
2020-08-31 00:37:14,462,3,1,1,2,2,1413
2020-08-31 00:37:29,462,3,1,1,2,2,1413
2020-08-31 00:37:44,462,3,1,1,2,2,1413
2020-08-31 00:37:59,462,3,1,1,2,2,1414
2020-08-31 00:38:14,462,3,1,1,2,2,1414
2020-08-31 00:38:29,462,3,1,1,2,2,1414
2020-08-31 00:38:44,463,3,1,1,2,2,1417
2020-08-31 00:38:59,463,3,1,1,2,2,1417
2020-08-31 00:39:14,463,3,1,1,2,2,1417
2020-08-31 00:39:29,463,3,1,1,2,2,1418
2020-08-31 00:39:44,463,3,1,1,2,2,1418
2020-08-31 00:40:00,463,3,1,1,2,2,1420
2020-08-31 00:40:14,463,3,1,1,2,2,1420
2020-08-31 00:40:29,463,3,1,1,2,2,1420
2020-08-31 00:40:44,463,3,1,1,2,2,1423
2020-08-31 00:41:00,463,3,1,1,2,2,1425
2020-08-31 00:41:14,463,3,1,1,2,2,1425
2020-08-31 00:41:29,463,3,1,1,2,2,1426
2020-08-31 00:41:44,463,3,1,1,2,2,1427
2020-08-31 00:41:59,463,3,1,1,2,2,1427
2020-08-31 00:42:14,463,3,1,1,2,2,1428
2020-08-31 00:42:29,463,3,1,1,2,2,1430
2020-08-31 00:42:45,463,3,1,1,2,2,1430
2020-08-31 00:43:00,463,3,1,1,2,2,1431
2020-08-31 00:43:15,463,3,1,1,2,2,1431
2020-08-31 00:43:30,463,3,1,1,2,2,1431
