date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-02 23:11:01,1,6,1112,0,0,464,0
2020-08-02 23:12:19,1,6,1125,0,0,470,0
2020-08-02 23:12:56,1,6,1131,0,0,470,0
2020-08-02 23:13:11,1,6,1134,0,0,470,0
2020-08-02 23:13:26,1,6,1134,0,0,470,0
2020-08-02 23:13:41,1,6,1135,0,0,470,0
2020-08-02 23:13:56,1,6,1137,0,0,470,0
2020-08-02 23:14:11,1,6,1139,0,0,471,0
2020-08-02 23:14:26,1,6,1140,0,0,472,0
2020-08-02 23:14:41,1,6,1140,0,0,472,0
2020-08-02 23:14:56,1,6,1144,0,0,472,0
2020-08-02 23:15:11,1,6,1144,0,0,472,0
2020-08-02 23:15:26,1,6,1145,0,0,475,0
2020-08-02 23:15:41,1,6,1146,0,0,475,0
2020-08-02 23:15:56,1,6,1148,0,0,477,0
2020-08-02 23:16:11,1,6,1152,0,0,476,0
2020-08-02 23:16:26,1,6,1154,0,0,475,0
2020-08-02 23:16:41,1,6,1157,0,0,476,0
2020-08-02 23:16:56,1,6,1159,0,0,477,0
2020-08-02 23:17:11,1,6,1160,0,0,478,0
2020-08-02 23:17:26,1,6,1165,0,0,478,0
2020-08-02 23:17:41,1,6,1167,0,0,478,0
2020-08-02 23:17:56,1,6,1170,0,0,479,0
2020-08-02 23:18:11,1,6,1172,0,0,479,0
2020-08-02 23:18:26,1,6,1174,0,0,480,0
2020-08-02 23:18:41,1,6,1175,0,0,480,0
2020-08-02 23:18:56,1,6,1175,0,0,481,0
2020-08-02 23:19:11,1,6,1177,0,0,483,0
2020-08-02 23:19:26,1,6,1178,0,0,483,0
2020-08-02 23:19:41,1,6,1182,0,0,484,0
2020-08-02 23:19:56,1,6,1186,0,0,484,0
2020-08-02 23:20:11,1,6,1188,0,0,486,0
2020-08-02 23:20:26,1,6,1190,0,0,487,0
2020-08-02 23:20:41,1,6,1191,0,0,487,0
2020-08-02 23:20:56,1,6,1193,0,0,490,0
2020-08-02 23:21:11,1,6,1194,0,0,490,0
2020-08-02 23:21:26,1,6,1195,0,0,492,0
2020-08-02 23:21:41,1,6,1197,0,0,493,0
2020-08-02 23:21:56,1,6,1197,0,0,493,0
2020-08-02 23:22:11,1,6,1197,0,0,494,0
2020-08-02 23:22:26,1,6,1198,0,0,495,0
2020-08-02 23:22:41,1,6,1199,0,0,497,0
2020-08-02 23:22:56,1,6,1200,0,0,497,0
2020-08-02 23:23:11,1,6,1201,0,0,497,0
2020-08-02 23:23:26,1,6,1203,0,0,497,0
2020-08-02 23:23:41,1,6,1204,0,0,497,0
2020-08-02 23:23:56,1,6,1206,0,0,498,0
2020-08-02 23:24:11,1,6,1207,0,0,499,0
2020-08-02 23:24:26,1,6,1207,0,0,499,0
2020-08-02 23:24:41,1,6,1209,0,0,499,0
2020-08-02 23:24:56,1,6,1210,0,0,500,0
2020-08-02 23:25:11,1,6,1212,0,0,501,0
