date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-09-01 22:33:00,1,2,3,1,476,1,284
2020-09-01 22:34:05,1,2,3,1,477,1,284
2020-09-01 22:37:06,1,2,3,1,481,1,283
2020-09-01 22:37:21,1,2,3,1,481,1,283
2020-09-01 22:37:36,1,2,3,1,481,1,283
2020-09-01 22:37:51,1,2,3,1,481,1,284
2020-09-01 22:38:06,1,2,3,1,481,1,284
2020-09-01 22:38:21,1,2,3,1,482,1,284
2020-09-01 22:38:36,1,2,3,1,482,1,284
2020-09-01 22:38:51,1,2,3,1,482,1,284
2020-09-01 22:39:06,1,2,3,1,484,1,284
2020-09-01 22:39:21,1,2,3,1,483,1,286
2020-09-01 22:39:36,1,2,3,1,483,1,287
2020-09-01 22:39:51,1,2,3,1,483,1,287
2020-09-01 22:40:06,1,2,3,1,483,1,287
2020-09-01 22:40:21,1,2,3,1,483,1,287
2020-09-01 22:40:36,1,2,3,1,483,1,287
2020-09-01 22:40:51,1,2,3,1,484,1,288
2020-09-01 22:41:06,1,2,3,1,484,1,288
2020-09-01 22:41:21,1,2,3,1,484,1,288
2020-09-01 22:41:36,1,2,3,1,484,1,288
2020-09-01 22:41:51,1,2,3,1,484,1,288
2020-09-01 22:42:06,1,2,3,1,484,1,289
2020-09-01 22:42:21,1,2,3,1,486,1,290
2020-09-01 22:42:36,1,2,3,1,487,1,290
2020-09-01 22:42:51,1,2,3,1,487,1,290
2020-09-01 22:43:06,1,2,3,1,487,1,291
2020-09-01 22:43:21,1,2,3,1,488,1,291
2020-09-01 22:43:36,1,2,3,1,488,1,292
2020-09-01 22:43:51,1,2,3,1,488,1,292
2020-09-01 22:44:06,1,2,3,1,489,1,292
2020-09-01 22:44:21,1,2,3,1,490,1,293
2020-09-01 22:44:36,1,2,3,1,491,1,293
2020-09-01 22:44:51,1,2,3,1,490,1,294
2020-09-01 22:45:06,1,2,3,1,490,1,294
2020-09-01 22:45:21,1,2,3,1,490,1,294
2020-09-01 22:45:36,1,2,3,1,490,1,294
2020-09-01 22:45:51,1,2,3,1,490,1,294
2020-09-01 22:46:06,1,2,3,1,491,1,294
2020-09-01 22:46:21,1,2,3,1,491,1,294
2020-09-01 22:46:36,1,2,3,1,491,1,296
2020-09-01 22:46:51,1,2,3,1,491,1,296
2020-09-01 22:47:06,1,2,3,1,491,1,296
2020-09-01 22:47:21,1,2,3,1,491,1,296
2020-09-01 22:47:36,1,2,3,1,491,1,296
2020-09-01 22:47:51,1,2,3,1,491,1,296
2020-09-01 22:48:06,1,2,3,1,492,1,296
2020-09-01 22:48:21,1,2,3,1,492,1,296
2020-09-01 22:48:36,1,2,3,1,492,1,296
2020-09-01 22:48:51,1,2,3,1,493,1,296
2020-09-01 22:49:06,1,2,3,1,494,1,296
2020-09-01 22:49:21,1,2,3,1,494,1,296
2020-09-01 22:49:36,1,2,3,1,494,1,296
2020-09-01 22:49:51,1,2,3,1,494,1,297
2020-09-01 22:50:06,1,2,3,1,495,1,297
