date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-04 22:13:43,1,1,0,0,444,433,0
2020-08-04 22:13:49,1,1,0,0,447,434,0
2020-08-04 22:14:18,0,1,0,0,458,449,0
2020-08-04 22:14:33,0,1,0,0,464,454,0
2020-08-04 22:14:48,0,1,0,0,469,459,0
2020-08-04 22:15:03,0,2,0,0,482,462,0
2020-08-04 22:15:18,0,2,0,0,485,467,0
2020-08-04 22:15:33,0,3,0,0,491,473,0
2020-08-04 22:15:48,0,2,0,0,495,477,0
2020-08-04 22:16:03,0,2,0,0,499,482,0
2020-08-04 22:16:18,0,2,0,0,506,488,0
2020-08-04 22:16:33,0,2,0,0,511,494,0
2020-08-04 22:16:48,0,2,0,0,513,496,0
2020-08-04 22:17:03,0,2,0,0,515,503,0
2020-08-04 22:17:18,0,2,0,0,521,511,0
2020-08-04 22:17:33,0,2,0,0,523,519,0
2020-08-04 22:17:48,0,2,0,0,525,525,0
2020-08-04 22:18:03,0,2,0,0,527,529,0
2020-08-04 22:18:18,0,2,0,0,531,534,0
2020-08-04 22:18:33,0,4,0,0,535,538,0
2020-08-04 22:18:48,0,4,0,0,538,541,0
2020-08-04 22:19:21,0,3,0,0,554,558,0
2020-08-04 22:19:21,0,3,0,0,554,558,0
2020-08-04 22:19:33,0,3,0,0,557,560,0
2020-08-04 22:19:48,0,3,0,0,560,562,0
2020-08-04 22:20:03,0,4,0,0,563,565,0
2020-08-04 22:20:18,0,3,0,0,565,569,0
2020-08-04 22:20:33,0,3,0,0,567,575,0
2020-08-04 22:20:48,0,3,0,0,571,580,0
2020-08-04 22:21:03,0,3,0,0,574,588,0
2020-08-04 22:21:18,0,3,0,0,576,591,0
2020-08-04 22:21:33,0,3,0,0,579,595,0
2020-08-04 22:21:48,0,3,0,0,581,603,0
2020-08-04 22:22:03,0,3,0,0,584,608,0
2020-08-04 22:22:18,0,3,0,0,585,615,0
2020-08-04 22:22:33,0,3,0,0,592,620,0
2020-08-04 22:22:48,0,3,0,0,598,631,0
2020-08-04 22:23:03,1,3,0,0,604,636,0
2020-08-04 22:23:18,1,3,0,0,611,642,0
2020-08-04 22:23:33,1,3,0,0,614,648,0
2020-08-04 22:23:48,1,3,0,0,620,654,0
2020-08-04 22:24:03,1,3,0,0,625,658,0
2020-08-04 22:24:18,1,3,0,0,629,659,0
2020-08-04 22:24:33,1,3,0,0,633,663,0
2020-08-04 22:24:48,1,3,0,0,635,664,0
2020-08-04 22:25:03,1,3,0,0,644,665,0
2020-08-04 22:25:18,1,3,0,0,648,667,0
2020-08-04 22:25:33,1,3,0,0,652,671,0
2020-08-04 22:25:48,1,3,0,0,655,677,0
2020-08-04 22:26:03,1,3,0,0,663,679,0
2020-08-04 22:26:18,1,3,0,0,666,683,0
2020-08-04 22:26:33,1,3,0,0,670,685,0
2020-08-04 22:26:48,1,3,0,0,675,693,0
2020-08-04 22:27:03,1,3,0,0,683,701,0
2020-08-04 22:27:18,1,3,0,0,688,705,0
2020-08-04 22:27:33,1,3,0,0,691,710,0
2020-08-04 22:27:48,1,4,0,0,695,716,0
2020-08-04 22:28:03,1,4,0,0,696,721,0
2020-08-04 22:28:18,1,3,0,0,703,726,0
2020-08-04 22:28:33,1,3,0,0,707,733,0
2020-08-04 22:28:48,1,3,0,0,712,733,0
2020-08-04 22:29:03,1,3,0,0,715,736,0
2020-08-04 22:29:18,1,3,0,0,717,743,0
2020-08-04 22:29:33,1,3,0,0,721,750,0
2020-08-04 22:29:48,1,4,0,0,725,752,0
2020-08-04 22:30:03,1,3,0,0,729,760,0
2020-08-04 22:30:18,1,3,0,0,731,763,0
2020-08-04 22:30:33,1,3,0,0,740,765,0
2020-08-04 22:30:48,1,3,0,0,744,768,0
2020-08-04 22:31:03,1,3,0,0,752,769,0
2020-08-04 22:31:18,1,3,0,0,754,770,0
2020-08-04 22:31:33,1,3,0,0,757,775,0
2020-08-04 22:31:48,2,3,0,0,760,779,0
2020-08-04 22:32:03,1,3,0,0,766,781,0
2020-08-04 22:32:20,1,3,0,0,769,784,0
2020-08-04 22:32:34,1,3,0,0,775,789,0
2020-08-04 22:32:50,1,3,0,0,781,792,0
2020-08-04 22:33:03,1,3,0,0,787,798,0
2020-08-04 22:33:21,1,3,0,0,793,802,0
2020-08-04 22:33:33,1,3,0,0,797,804,0
2020-08-04 22:33:48,1,3,0,0,803,809,0
2020-08-04 22:34:06,1,3,0,0,805,812,0
2020-08-04 22:34:19,1,3,0,0,808,817,0
2020-08-04 22:34:34,1,3,0,0,813,822,0
2020-08-04 22:34:49,1,3,0,0,817,828,0
2020-08-04 22:35:05,1,3,0,0,820,834,0
2020-08-04 22:35:18,1,3,0,0,823,841,0
2020-08-04 22:35:33,1,3,0,0,825,847,0
2020-08-04 22:35:48,1,3,0,0,827,850,0
2020-08-04 22:36:03,1,3,0,0,831,853,0
2020-08-04 22:36:18,1,3,0,0,837,856,0
2020-08-04 22:36:33,1,3,0,0,843,859,0
2020-08-04 22:36:48,1,3,0,0,846,862,0
2020-08-04 22:37:04,1,3,0,0,850,869,0
2020-08-04 22:37:19,2,3,0,0,855,870,0
2020-08-04 22:37:34,1,3,0,0,862,875,0
2020-08-04 22:37:49,1,3,0,0,868,879,0
2020-08-04 22:38:04,1,3,0,0,875,879,0
2020-08-04 22:38:19,1,3,0,0,880,883,0
2020-08-04 22:38:34,1,3,0,0,884,892,0
2020-08-04 22:38:49,1,3,0,0,888,895,0
2020-08-04 22:39:04,1,3,0,0,893,900,0
2020-08-04 22:39:19,1,3,0,0,895,906,0
2020-08-04 22:39:34,1,3,0,0,896,910,0
2020-08-04 22:39:49,1,3,0,0,898,912,0
2020-08-04 22:40:04,1,3,0,0,900,916,0
2020-08-04 22:40:19,1,3,0,0,902,920,0
2020-08-04 22:40:34,1,3,0,0,904,926,0
2020-08-04 22:40:49,1,3,0,0,912,928,0
2020-08-04 22:41:04,1,3,0,0,918,929,0
2020-08-04 22:41:19,1,3,0,0,923,932,0
2020-08-04 22:41:34,1,3,0,0,926,935,0
2020-08-04 22:41:49,1,3,0,0,932,939,0
2020-08-04 22:42:04,1,3,0,0,939,941,0
2020-08-04 22:42:19,1,3,0,0,944,943,0
2020-08-04 22:42:34,1,3,0,0,947,946,0
2020-08-04 22:42:49,1,3,0,0,954,948,0
2020-08-04 22:43:04,1,3,0,0,958,951,0
2020-08-04 22:43:19,1,3,0,0,962,957,0
2020-08-04 22:43:34,1,3,0,0,967,959,0
2020-08-04 22:43:49,1,3,0,0,973,959,0
2020-08-04 22:44:04,1,3,0,0,976,964,0
2020-08-04 22:44:19,1,3,0,0,980,966,0
2020-08-04 22:44:34,1,3,0,0,983,967,0
2020-08-04 22:44:49,1,3,0,0,987,971,0
2020-08-04 22:45:04,1,3,0,0,989,974,0
2020-08-04 22:45:19,1,3,0,0,992,981,0
2020-08-04 22:45:34,1,3,0,0,996,984,0
2020-08-04 22:45:49,1,3,0,0,997,988,0
2020-08-04 22:46:04,1,3,0,0,1001,992,0
2020-08-04 22:46:19,1,3,0,0,1003,994,0
2020-08-04 22:46:34,1,3,0,0,1006,996,0
2020-08-04 22:46:49,1,3,0,0,1009,998,0
2020-08-04 22:47:04,1,3,0,0,1011,1001,0
2020-08-04 22:47:19,2,3,0,0,1015,1004,0
2020-08-04 22:47:34,2,3,0,0,1019,1007,0
2020-08-04 22:47:49,2,3,0,0,1021,1007,0
2020-08-04 22:48:04,2,3,0,0,1026,1010,0
2020-08-04 22:48:19,2,3,0,0,1027,1013,0
2020-08-04 22:48:34,2,3,0,0,1030,1018,0
2020-08-04 22:48:49,2,3,0,0,1037,1022,0
2020-08-04 22:49:04,2,3,0,0,1042,1024,0
2020-08-04 22:49:19,2,3,0,0,1046,1027,0
2020-08-04 22:49:34,2,3,0,0,1048,1034,0
2020-08-04 22:49:49,2,3,0,0,1049,1036,0
2020-08-04 22:50:04,2,3,0,0,1051,1039,0
2020-08-04 22:50:19,2,3,0,0,1052,1039,0
2020-08-05 00:11:07,2,5,0,0,1886,1727,0
2020-08-05 00:11:09,2,5,0,0,1886,1727,0
2020-08-05 00:11:22,2,5,0,0,1887,1727,0
2020-08-05 00:11:37,2,5,0,0,1890,1727,0
2020-08-05 00:11:52,2,5,0,0,1892,1728,0
2020-08-05 00:12:07,2,5,0,0,1892,1732,0
2020-08-05 00:12:22,2,5,0,0,1894,1735,0
2020-08-05 00:12:37,2,5,0,0,1894,1737,0
2020-08-05 00:12:52,2,5,0,0,1896,1738,0
2020-08-05 00:13:07,2,5,0,0,1896,1740,0
2020-08-05 00:13:22,2,5,0,0,1899,1742,0
2020-08-05 00:13:37,2,5,0,0,1900,1745,0
2020-08-05 00:13:54,2,5,0,0,1901,1746,0
2020-08-05 00:14:07,2,5,0,0,1902,1747,0
2020-08-05 00:14:22,2,5,0,0,1902,1748,0
2020-08-05 00:14:38,2,5,0,0,1903,1750,0
2020-08-05 00:14:52,2,5,0,0,1903,1754,0
2020-08-05 00:15:07,3,5,0,0,1904,1754,0
2020-08-05 00:15:22,3,5,0,0,1907,1754,0
2020-08-05 00:15:38,3,5,0,0,1910,1754,0
2020-08-05 00:15:52,3,6,0,0,1915,1756,0
2020-08-05 00:16:07,3,5,0,0,1916,1758,0
2020-08-05 00:16:22,3,5,0,0,1917,1759,0
2020-08-05 00:16:37,3,5,0,0,1918,1761,0
2020-08-05 00:16:52,3,5,0,0,1919,1762,0
2020-08-05 00:17:07,3,5,0,0,1920,1767,0
2020-08-05 00:17:22,3,5,0,0,1923,1768,0
2020-08-05 00:17:38,3,5,0,0,1928,1773,0
2020-08-05 00:17:52,3,5,0,0,1932,1773,0
2020-08-05 00:18:07,3,5,0,0,1934,1775,0
2020-08-05 00:18:22,3,5,0,0,1939,1775,0
2020-08-05 00:18:37,3,5,0,0,1941,1775,0
2020-08-05 00:18:52,3,5,0,0,1941,1778,0
2020-08-05 00:19:07,3,5,0,0,1944,1778,0
2020-08-05 00:21:52,3,5,0,0,1960,1792,0
2020-08-05 00:21:56,3,5,0,0,1960,1792,0
2020-08-05 00:22:07,3,5,0,0,1960,1792,0
2020-08-05 00:22:22,3,5,0,0,1960,1795,0
2020-08-05 00:22:37,3,5,0,0,1960,1795,0
2020-08-05 00:22:52,3,5,0,0,1962,1795,0
2020-08-05 00:23:07,3,5,0,0,1964,1798,0
2020-08-05 00:23:22,3,5,0,0,1964,1800,0
2020-08-05 00:23:37,3,5,0,0,1966,1800,0
2020-08-05 00:23:52,3,5,0,0,1965,1802,0
2020-08-05 00:24:07,3,5,0,0,1968,1802,0
2020-08-05 00:24:22,3,5,0,0,1968,1802,0
2020-08-05 00:24:37,3,5,0,0,1967,1803,0
2020-08-05 00:24:52,3,5,0,0,1969,1803,0
2020-08-05 00:25:07,3,5,0,0,1970,1804,0
2020-08-05 00:25:22,3,5,0,0,1970,1804,0
2020-08-05 00:25:37,3,5,0,0,1973,1804,0
2020-08-05 00:25:52,3,5,0,0,1974,1806,0
2020-08-05 00:26:07,3,5,0,0,1974,1806,0
2020-08-05 00:26:22,3,5,0,0,1976,1806,0
